Datum;Rating;Ldfnr;Produkt;Version;Bemerkungen;vorinstall;Quelle;Lizenztyp;Lizenzgeber;Lizenzbestimmungen;instlocation;Herstellerwebsite;Link;BMIcon
"2022-07-15 14:13:33";"8";"454";"gevis Warenwirtschaft";"6.00.33277";"gevis Classic Version, basiert auf Dynamics NAV 2009 R2, wird abgelöst durch gevis ERP|BC (Microsoft Dynamics 365 Business Central, On-Premises und IaaS) oder gevis ERP|VEO (SaaS)";"";"aus Originalquelle";"Mietlizenz Subscription";"GWS mbH";"";"sc";"https://gws.ms/gevis-erp-business/";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVQ4jW2TXWyLURjHf+e8b9+2a2u1bswwQrgkMq5EQlxKiBsRZC4IsfkKkfgIGhc+IoT4SBBhI8PEhWRLXBDuFiKCRCKIz2lr67qua/t2fd+e46LTknjOzZOc5/97/v+THEG1BN1askaUAOjojyCtPQCo4lk2ThsCoFsbrBEK0GURgNYCITQAF/sjhD2bQG5FyFnle/UZ1BXSznW2j4PGNaKy/8TbiUxr3IKQbVhWM3YW3JILgGma+ANQLH5Hq8v0J65yYN5w1cHt1Do85iUMT5jRpEYrB6SJ+OMQDcpFSIsJ9eAW0zildjbUdcnxjH24xZPYmc8EwgLDskCV0OMHVcKwLLwByI9+wnFOoYp9VQcANwYaUQWJx78SwQF8Nc3k0uWRUBhy2Q+o0iu0OE/J+cDm6SmAsoPOgXZCoTj+wGMM/Z2800LBbsMwYxhGjLF8O05qIT5vCtPYRDD4g47YrirAdm+QH1mOJkVtQy8h7zO0+kZ6bBHxfAvCHMA/+RwF+xeq+BzHXUGBa1WAOyzx1yry9lpSyaVAhkhDL2FfD03BHhpq76OVxheaiWE1YXqyYHuqgGB9K5Kn+H1fobSEnLuakeRShFBIoYknlvHyyQ4MI4QUC5HyCVag9d9HPPt6Kg1NB/HWtOEUXDRRckNXcJQmMmUPWi1mLNcH8gde0c26pmQV0DE4F69nFRn7GZZM4ZF78Qa3YWdsNJpQXQ2FbJSfX24SaWzBF5iBGuth/aSP5QiSFoTcT33kBaY8Q965Tjo5B2HcQRp3iX2bg519xOTmCwRrHyDFIZSx4N8I0XdBZtdvQchDBMJ15EYeYttHAKjxH8M/YRV2ZhCtjxOPXWPf/Fz1H0ajstKfeh+iM7GbrqEE90Y0d9OarqE4nYmddL4J/FdTqW5tVPpL74Lc+nWUW4OHOf2XsDxTcf4bDkQlJK4Og4UAAAAASUVORK5CYII="
"2024-05-05 16:39:45";"1";"569";"GIMP";"2.10.38";"Bildbearbeitungssoftware (GNU Image Manipulation Program), quelloffen. Unübersichtliche Bedienoberfläche. Stattdessen besser: Die kostenlose Lösung Paint.net lässt sich bedienen wie Photoshop, hat mehr Funktionen und ist leistungsfähiger unter Windows";"";"";"GPL-Lizenz, kostenfrei";"";"";"x";"https://www.gimp.org/downloads/";"0";""
"2024-11-06 16:44:28";"8";"394";"GitHub Desktop";"3.4.9";"Grafische Oberfläche zum Verwalten und synchronisieren von Git Repositories zwischen GitHub und dem lokalen Rechner. GitHub gehört zu Microsoft, es gibt Github (kostenlos, Open Source) und Github Enterprise (kostenpflichtig im Abo). MSI installer machinewide möglich ?format=msi, wenn Intune eingesetzt wird - Installation per User unter %appdata%  64-Bit, Single installer EXE im Website Link.";"Deploy";"Internet";"GPL-Lizenz, kostenfrei";"GitHub Projekt";"im Installationspaket und auf der Webseite";"c";"https://central.github.com/deployments/desktop/desktop/latest/win32";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACIUlEQVQ4jY1Tv2sUQRT+5r3d3Cbezt3u3hEDdoJgIVieGo1YBixsBIsUtvkPbCwFO0WLoIJFClOI2NiKJoqFjWCtQRQSk7vbuSM5c7c78yxyG5aAJq96M3y/5g1P4VDV6/UrzHwLwDUlMgMAotQGgLfW2hfGmNUyXpV6bkTRc/a8hcOi5bJ5vtxO09sAbFmAkyRZ84gu/I9cVO7cp06ncxmAZQBoRNGyxzyf5fnqKMtudtN0g5hPkVLbItIRoLrdbt8ZZdldz/PO+Myzk5XK6cHe3itorVvTzaZMN5sSx/HS2KQKYKpkWi3SxnG8VOC11i2aYF48eJ+1z8btDoBBSWAHgACAc26luJxgXiQwzwKAdW4EoHOMEaxb54b7k+NZwviroNRmr9dbP4ptjPkBpX4DAERmqIgGoAaAjpGAIFIf90IC/AQAVqqWJMn1o9hRFM0zkca+8y8ipdacCLbabevy/GUUhpf+RY7D8CITPS3OIvKOsjx/PBpmEBFr+v1+b3f3AxENtNatAhgEwVUi2vaD4CMTnSwJPCJjzBe/4j+ZbjYn6r4/V61WF8Iw/KyU2iqAlUplR2vdKKexIg/SNP16sAtxFL0nonPWufMi0jfGmBI+bCTJJhNNYX8fXrfT9AbKU++m6RyUWmGi7x7zNwAzJYETBTnP83sFGQC4HGswGLyZDII9KNXwfX95OBz+AYBareYrkbMOeNjpdu+XOX8BJe7aBTyL+vkAAAAASUVORK5CYII="
"2021-03-29 11:45:46";"0";"822";"GitHub newest Forks";"1.0";"Neuste Github Forks filtern und sortieren";"";"";"";"";"";"";"https://techgaun.github.io/active-forks/index.html";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAA1UlEQVQ4ja3RMUpDQRSF4U8jQiSlmi0YLW0CqUwt9hYuwVS2thYpbdIEtDekSZPCBRhE3IUuwULl2VxlGNDMC14YZuYw5597OfxztTHHE3qrAK4wQAeLRN/HHa6xlRrWM8ALujjGa6KPcYN3nKeGjQwwwhlOsZ3oH9iM95/LxpijyrS90J7R/GuE36oR+wPe6gIOcBvnSclv3yNcRBJVrGFhtz+AKtqd4qjUnAIu0apjFDE9BmC3xLCW3Qc4jLj6OFkGyFNoh/m+tIO8djCLvLurAGrXF2oCKD/4800yAAAAAElFTkSuQmCC"
"2008-09-04 09:23:51";"0";"824";"GLS Paketverfolgung";"1.0";"Paketdienst Tracking Seite";"";"";"";"";"";"";"https://gls-group.eu/DE/de/paketverfolgung";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAIAAACQkWg2AAAB8ElEQVQ4jY2ST0uUURjFz3nuHcfXf+M4KGYOZZQFVpCGiLYxgja5CaVFtXTVIuoT9AXa9AFatQkL8gsUBRIESRCkKJjZogjxT2oz78y897R4Z6AgsLu4nIfnnMuF82P/4EwcV81MEkkcduxQx78CgpSOUl0JUMPzlzAJIEhIAtJPpQ42wkxfSoUnJSkJMpJUfQ8EyTkHCELqpTEE+VqgM7ZkeFDV3oFLEtIJQpRFubwfEjlvzsx5Vy7FUZT1Hc3hWFdl5Vs2rtiD2+tnB/Z2dzItueTxfM66p27NTHxaWg/C3IvX9+5Mv1n4YNeGdzc23cZWphb4ca1joCu+MfV16sLa5MTQ/bs3n8+/zOfbiv3dYxfPXBofevtuyWTJ7NXv46f2Rk7s93aWCl2VleWez19coTi2vbVZPNpzZXJYCu8Xl/O59tGR027t56i32vWxncsj28f7Sg/nik9eHWltzzx6Wjp/7mR3Ibe4uNqRb+vrLSyvbjybX2BxcPrHtszgjeUKnaElSipV865S/lWm0cwENXkfx9UoavYSO1urZhaEtkggFdDkaqCPsu2AJBIIUhRlFeRFJSFtSwGmABIAFdQgq95fCBLkIZAACaFebdoUIYiABAIgBFD0ZB0BSWZ1Fvnn3SA4jVmShBSg/2EbwG//GugWfTPWzQAAAABJRU5ErkJggg=="
"2024-12-04 08:39:56";"10";"437";"Google Chrome";"131.0.6778.108";"Empfohlener Standard-Browser. Google Browser auf Chromium-Basis, Autoupdates, PDF-Betrachter mit Formfill, Chrome Enterprise MSI Paket 64-Bit standalone. Gruppenrichtlinien im Chrome Bundle. In Central Store importieren/konfigurieren.";"Deploy";"Internet";"kostenfrei auch kommerziell";"Google Inc.";"auf der Internetseite";"sc";"https://cloud.google.com/chrome-enterprise/browser/download/?hl=de";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACIklEQVQ4jYWSS0iUURTHf/fe8RvHooE2VlT2FNqUGWmNEYUR9lhEEVJhUIsoXOQuap1Rq6KHNQt3LaPAIOxhlNTChUwLMU3NR1CklUzg6xvPd1ro2KhTHjjcA/e8/uf/hzmmqsUiEheRLhHxp/2TiDxQ1aK5+ZmFeSJSrwuYiMRVNZKuMxnFz51zu9T3GX/6iPGmRqS/F5WAUMEawuUVRI5UYjwPEWl2zlUYY8YMgIjUW2vPBkPfSV6uYbKvJ+uW3rZSojfuABAEQdw5d96oajHQqr7P8IUqpL8X43lEjp3EK4mBtfgt75l4+4po7U3cytWZPbcyjUlTidv642ipDu7foX7bh2zgs92jDhHpUlWdbNmuEw15OvqweqE7ZjboCAEFADrSjs1LkRM7NAt3+bWRebfYudFx9XguwFqbwePs9z/mT/6NLdAHMBpex28W0/C1Y1Zy05VFM75nUwiAZVGT/v5sgdcA3UurOPUrxvXOFhJD7fOmdn4LeNc5NbpkfWimv5mWZ8KXFKdfXqInOYBnc6gsPEjZ8mKssbQOtvEkMczYl0oK8z3un4lgppbYkhZS3Fp7bnD0Jxeba+lODmTFviFcxq29NeRHDUEQ1DnnqtNSjohIo3Nutx+keNz9gmf9zfQkB0ChYMkK9q2KcaLwMJFQGFV9Y4w5YIwZzyBBI2lRLcD9PVXN/SdFqlokInUi0iEiE9P+UUTuqurmufl/AKTzsFGmvUNUAAAAAElFTkSuQmCC"
"2021-05-19 14:24:51";"8";"67";"Google Chrome Extension: Shoyu RSS/Atom Feed";"2.0.3.18";"Zeigt oben rechts an, ob eine Seite einen oder mehrere RSS Feeds anbietet und stellt sie in lesbarer Form mit Bildern im Browser dar. Klickt man auf den kleinen Punkt in der Überschrift, wird der RSS XML-Code sichtbar (für Entwickler)";"";"Google-Chrome";"GPL-Lizenz, kostenfrei";"Google";"im Chrome Store";"c";"https://chrome.google.com/webstore/detail/shoyu-rssatom-feed-previe/ilicaedjojicckapfpfdoakbehjpfkah";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACIklEQVQ4jYWSS0iUURTHf/fe8RvHooE2VlT2FNqUGWmNEYUR9lhEEVJhUIsoXOQuap1Rq6KHNQt3LaPAIOxhlNTChUwLMU3NR1CklUzg6xvPd1ro2KhTHjjcA/e8/uf/hzmmqsUiEheRLhHxp/2TiDxQ1aK5+ZmFeSJSrwuYiMRVNZKuMxnFz51zu9T3GX/6iPGmRqS/F5WAUMEawuUVRI5UYjwPEWl2zlUYY8YMgIjUW2vPBkPfSV6uYbKvJ+uW3rZSojfuABAEQdw5d96oajHQqr7P8IUqpL8X43lEjp3EK4mBtfgt75l4+4po7U3cytWZPbcyjUlTidv642ipDu7foX7bh2zgs92jDhHpUlWdbNmuEw15OvqweqE7ZjboCAEFADrSjs1LkRM7NAt3+bWRebfYudFx9XguwFqbwePs9z/mT/6NLdAHMBpex28W0/C1Y1Zy05VFM75nUwiAZVGT/v5sgdcA3UurOPUrxvXOFhJD7fOmdn4LeNc5NbpkfWimv5mWZ8KXFKdfXqInOYBnc6gsPEjZ8mKssbQOtvEkMczYl0oK8z3un4lgppbYkhZS3Fp7bnD0Jxeba+lODmTFviFcxq29NeRHDUEQ1DnnqtNSjohIo3Nutx+keNz9gmf9zfQkB0ChYMkK9q2KcaLwMJFQGFV9Y4w5YIwZzyBBI2lRLcD9PVXN/SdFqlokInUi0iEiE9P+UUTuqurmufl/AKTzsFGmvUNUAAAAAElFTkSuQmCC"
"2021-03-15 09:15:33";"8";"69";"Google Chrome Extension: Ublock Origin";"1.33.2";"Effizienter Adblocker als Open Source auf Basis zahlreicher Listen mit Anti-Adblocker-Listen und Adblocker-Versteckfunktionen. Funktioniert auch mit dem Microsoft Edge on Chromium.";"";"Google-Chrome";"GPL-Lizenz, kostenfrei";"gorhill";"im Chrome Store";"c";"https://chrome.google.com/webstore/detail/ublock-origin/cjpalhdlnbpafiamejdnhcphjbkeiagm";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACIklEQVQ4jYWSS0iUURTHf/fe8RvHooE2VlT2FNqUGWmNEYUR9lhEEVJhUIsoXOQuap1Rq6KHNQt3LaPAIOxhlNTChUwLMU3NR1CklUzg6xvPd1ro2KhTHjjcA/e8/uf/hzmmqsUiEheRLhHxp/2TiDxQ1aK5+ZmFeSJSrwuYiMRVNZKuMxnFz51zu9T3GX/6iPGmRqS/F5WAUMEawuUVRI5UYjwPEWl2zlUYY8YMgIjUW2vPBkPfSV6uYbKvJ+uW3rZSojfuABAEQdw5d96oajHQqr7P8IUqpL8X43lEjp3EK4mBtfgt75l4+4po7U3cytWZPbcyjUlTidv642ipDu7foX7bh2zgs92jDhHpUlWdbNmuEw15OvqweqE7ZjboCAEFADrSjs1LkRM7NAt3+bWRebfYudFx9XguwFqbwePs9z/mT/6NLdAHMBpex28W0/C1Y1Zy05VFM75nUwiAZVGT/v5sgdcA3UurOPUrxvXOFhJD7fOmdn4LeNc5NbpkfWimv5mWZ8KXFKdfXqInOYBnc6gsPEjZ8mKssbQOtvEkMczYl0oK8z3un4lgppbYkhZS3Fp7bnD0Jxeba+lODmTFviFcxq29NeRHDUEQ1DnnqtNSjohIo3Nutx+keNz9gmf9zfQkB0ChYMkK9q2KcaLwMJFQGFV9Y4w5YIwZzyBBI2lRLcD9PVXN/SdFqlokInUi0iEiE9P+UUTuqurmufl/AKTzsFGmvUNUAAAAAElFTkSuQmCC"
"2024-11-30 15:03:17";"10";"66";"Google Chrome Extension: Visual Bookmarks";"6.6.0";"Schnellwahl mit Vorschaubildern als Startseite für Chrome (wie bei Opera Speed Dial, besser als Fast Dial und unterstützt Manifest3). Thumbnailimport oder manuell funktionieren, Funktioniert auch in Edge, wo es aus dem Edge Store ebenfalls runtergeladen werden kann. Import/Export und zahlreiche Einstellungen möglich.";"";"Google-Chrome";"GPL-Lizenz, kostenfrei";"Stepanov E.V.";"im Chrome Store";"c";"https://chromewebstore.google.com/detail/visual-bookmarks/jdbgjlehkajddoapdgpdjmlpdalfnenf";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACIklEQVQ4jYWSS0iUURTHf/fe8RvHooE2VlT2FNqUGWmNEYUR9lhEEVJhUIsoXOQuap1Rq6KHNQt3LaPAIOxhlNTChUwLMU3NR1CklUzg6xvPd1ro2KhTHjjcA/e8/uf/hzmmqsUiEheRLhHxp/2TiDxQ1aK5+ZmFeSJSrwuYiMRVNZKuMxnFz51zu9T3GX/6iPGmRqS/F5WAUMEawuUVRI5UYjwPEWl2zlUYY8YMgIjUW2vPBkPfSV6uYbKvJ+uW3rZSojfuABAEQdw5d96oajHQqr7P8IUqpL8X43lEjp3EK4mBtfgt75l4+4po7U3cytWZPbcyjUlTidv642ipDu7foX7bh2zgs92jDhHpUlWdbNmuEw15OvqweqE7ZjboCAEFADrSjs1LkRM7NAt3+bWRebfYudFx9XguwFqbwePs9z/mT/6NLdAHMBpex28W0/C1Y1Zy05VFM75nUwiAZVGT/v5sgdcA3UurOPUrxvXOFhJD7fOmdn4LeNc5NbpkfWimv5mWZ8KXFKdfXqInOYBnc6gsPEjZ8mKssbQOtvEkMczYl0oK8z3un4lgppbYkhZS3Fp7bnD0Jxeba+lODmTFviFcxq29NeRHDUEQ1DnnqtNSjohIo3Nutx+keNz9gmf9zfQkB0ChYMkK9q2KcaLwMJFQGFV9Y4w5YIwZzyBBI2lRLcD9PVXN/SdFqlokInUi0iEiE9P+UUTuqurmufl/AKTzsFGmvUNUAAAAAElFTkSuQmCC"
"2024-02-23 16:55:38";"3";"553";"Google Earth Pro";"7.3.6.9796";"Mittlerweile kostenlose Windows App zur 3D-Darstellung von Satellitendaten von Google. Leistungsfähiger als die Webapp Google Maps. Zahlreiche KML Import und Exportfunktionen";"";"Internet";"kostenfrei auch kommerziell";"Google Inc.";"im Installationspaket";"c";"https://dl.google.com/dl/earth/client/advanced/current/googleearthprowin-7.3.6-x64.exe";"0";""
"2022-01-17 10:00:00";"3";"465";"GoTo Opener";"999";"genutzt für Webinare, Clients kostenfrei - es gibt eine Webversion. Bitte diese verwenden bzw. die Desktop App nur dann installieren, wenn ein Webinar stattfindet und danach wieder deinstallieren.";"";"Internet";"Lizenzsoftware";"LogMeIn, Inc.";"im Installationspaket und auf der Webseite";"x";"https://app.goto.com/landing";"0";""
"2024-09-26 12:59:56";"6";"74";"GPL Ghostscript";"10.04.0";"Erzeugen von PDF-Dateien aus Postscript, wird von vielen Programmen wie Paint.net (PSD-Dateien und EPS-Dateien Filter) und PDF-Druckern und den Business Central NST und Batchservern für Wasserzeichen benutzt, meist die 64-Bit-Version, in Ausnahmen die 32-Bit-Version (je nach Client Anwendung 64 oder 32 Bit wählen), Sicherheitsupdates.";"Deploy";"Internet";"GPL-Lizenz, kostenfrei";"GNU Affero General Public License";"im Installationspaket";"sc";"https://ghostscript.com/releases/gsdnld.html";"0";""
"2023-03-28 08:44:09";"1";"457";"Greenshot";"1.3.277";"ShareX ist besser und basiert auf dem Greenshot Code. Greenshot hat meist nur unstable releses und ist damit nicht mehr aktuell, Releases im Projekt sind eher selten. Bitte deinstallieren und durch ShareX ersetzen.";"";"Internet";"GPL-Lizenz, kostenfrei";"GPL Projekt";"auf der Internetseite";"x";"https://getgreenshot.org/downloads/";"0";""
"2024-05-16 14:34:52";"7";"439";"gTool";"1.9.4";"Adressbuchsynchronisation mit Gigaset Telefonen. Je nach Modell ist auch Dateizugriff für Bilder/Klingeltöne möglich. Anschlussart: Serielles Kabel und Lumberg-Stecker für die SL-DECT-Modelle, Micro-USB-Kabel für die CL und S-Modelle der neueren Generation ab 2019. Enthält virtuellen Comport_Treiber seriell. Für Firmware-Updates wird Quicksync benötigt. Wenig störende Werbe-Einblendungen im Programm beim Aufruf. Bug: Auch für Version 1.9.4 wird 1.9.4 installiert.";"Deploy";"Internet";"kostenfrei auch kommerziell";"Gigaset GmbH";"im Installationspaket";"c";"https://www.gtool.de/";"0";""
"2024-11-30 21:56:36";"0";"628";"GWS DOKU gevis G-Linie";"1.0";"Dokumentation der G-Linie des ERP-Systems der GWS";"";"";"";"";"";"";"https://docs.gws.ms/de-DE/gevis-g/versionen/index.html";"1";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVQ4jW2TXWyLURjHf+e8b9+2a2u1bswwQrgkMq5EQlxKiBsRZC4IsfkKkfgIGhc+IoT4SBBhI8PEhWRLXBDuFiKCRCKIz2lr67qua/t2fd+e46LTknjOzZOc5/97/v+THEG1BN1askaUAOjojyCtPQCo4lk2ThsCoFsbrBEK0GURgNYCITQAF/sjhD2bQG5FyFnle/UZ1BXSznW2j4PGNaKy/8TbiUxr3IKQbVhWM3YW3JILgGma+ANQLH5Hq8v0J65yYN5w1cHt1Do85iUMT5jRpEYrB6SJ+OMQDcpFSIsJ9eAW0zildjbUdcnxjH24xZPYmc8EwgLDskCV0OMHVcKwLLwByI9+wnFOoYp9VQcANwYaUQWJx78SwQF8Nc3k0uWRUBhy2Q+o0iu0OE/J+cDm6SmAsoPOgXZCoTj+wGMM/Z2800LBbsMwYxhGjLF8O05qIT5vCtPYRDD4g47YrirAdm+QH1mOJkVtQy8h7zO0+kZ6bBHxfAvCHMA/+RwF+xeq+BzHXUGBa1WAOyzx1yry9lpSyaVAhkhDL2FfD03BHhpq76OVxheaiWE1YXqyYHuqgGB9K5Kn+H1fobSEnLuakeRShFBIoYknlvHyyQ4MI4QUC5HyCVag9d9HPPt6Kg1NB/HWtOEUXDRRckNXcJQmMmUPWi1mLNcH8gde0c26pmQV0DE4F69nFRn7GZZM4ZF78Qa3YWdsNJpQXQ2FbJSfX24SaWzBF5iBGuth/aSP5QiSFoTcT33kBaY8Q965Tjo5B2HcQRp3iX2bg519xOTmCwRrHyDFIZSx4N8I0XdBZtdvQchDBMJ15EYeYttHAKjxH8M/YRV2ZhCtjxOPXWPf/Fz1H0ajstKfeh+iM7GbrqEE90Y0d9OarqE4nYmddL4J/FdTqW5tVPpL74Lc+nWUW4OHOf2XsDxTcf4bDkQlJK4Og4UAAAAASUVORK5CYII="
"2024-11-30 21:56:36";"0";"629";"GWS DOKU gevis R-Linie";"1.0";"Dokumentation der R-Linie des ERP-Systems der GWS";"";"";"";"";"";"";"https://docs.gws.ms/de-DE/gevis-g/versionen/index.html";"1";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVQ4jW2TXWyLURjHf+e8b9+2a2u1bswwQrgkMq5EQlxKiBsRZC4IsfkKkfgIGhc+IoT4SBBhI8PEhWRLXBDuFiKCRCKIz2lr67qua/t2fd+e46LTknjOzZOc5/97/v+THEG1BN1askaUAOjojyCtPQCo4lk2ThsCoFsbrBEK0GURgNYCITQAF/sjhD2bQG5FyFnle/UZ1BXSznW2j4PGNaKy/8TbiUxr3IKQbVhWM3YW3JILgGma+ANQLH5Hq8v0J65yYN5w1cHt1Do85iUMT5jRpEYrB6SJ+OMQDcpFSIsJ9eAW0zildjbUdcnxjH24xZPYmc8EwgLDskCV0OMHVcKwLLwByI9+wnFOoYp9VQcANwYaUQWJx78SwQF8Nc3k0uWRUBhy2Q+o0iu0OE/J+cDm6SmAsoPOgXZCoTj+wGMM/Z2800LBbsMwYxhGjLF8O05qIT5vCtPYRDD4g47YrirAdm+QH1mOJkVtQy8h7zO0+kZ6bBHxfAvCHMA/+RwF+xeq+BzHXUGBa1WAOyzx1yry9lpSyaVAhkhDL2FfD03BHhpq76OVxheaiWE1YXqyYHuqgGB9K5Kn+H1fobSEnLuakeRShFBIoYknlvHyyQ4MI4QUC5HyCVag9d9HPPt6Kg1NB/HWtOEUXDRRckNXcJQmMmUPWi1mLNcH8gde0c26pmQV0DE4F69nFRn7GZZM4ZF78Qa3YWdsNJpQXQ2FbJSfX24SaWzBF5iBGuth/aSP5QiSFoTcT33kBaY8Q965Tjo5B2HcQRp3iX2bg519xOTmCwRrHyDFIZSx4N8I0XdBZtdvQchDBMJ15EYeYttHAKjxH8M/YRV2ZhCtjxOPXWPf/Fz1H0ajstKfeh+iM7GbrqEE90Y0d9OarqE4nYmddL4J/FdTqW5tVPpL74Lc+nWUW4OHOf2XsDxTcf4bDkQlJK4Og4UAAAAASUVORK5CYII="
"2022-01-29 16:18:52";"6";"521";"GWS gevis Signaturpad";"1.0.0.14";"Werkzeug für die signopads zum elektronischen Unterschreiben von Belegen und Lieferscheinen";"";"";"Lizenzsoftware";"GWS mbH";"";"c";"";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVQ4jW2TXWyLURjHf+e8b9+2a2u1bswwQrgkMq5EQlxKiBsRZC4IsfkKkfgIGhc+IoT4SBBhI8PEhWRLXBDuFiKCRCKIz2lr67qua/t2fd+e46LTknjOzZOc5/97/v+THEG1BN1askaUAOjojyCtPQCo4lk2ThsCoFsbrBEK0GURgNYCITQAF/sjhD2bQG5FyFnle/UZ1BXSznW2j4PGNaKy/8TbiUxr3IKQbVhWM3YW3JILgGma+ANQLH5Hq8v0J65yYN5w1cHt1Do85iUMT5jRpEYrB6SJ+OMQDcpFSIsJ9eAW0zildjbUdcnxjH24xZPYmc8EwgLDskCV0OMHVcKwLLwByI9+wnFOoYp9VQcANwYaUQWJx78SwQF8Nc3k0uWRUBhy2Q+o0iu0OE/J+cDm6SmAsoPOgXZCoTj+wGMM/Z2800LBbsMwYxhGjLF8O05qIT5vCtPYRDD4g47YrirAdm+QH1mOJkVtQy8h7zO0+kZ6bBHxfAvCHMA/+RwF+xeq+BzHXUGBa1WAOyzx1yry9lpSyaVAhkhDL2FfD03BHhpq76OVxheaiWE1YXqyYHuqgGB9K5Kn+H1fobSEnLuakeRShFBIoYknlvHyyQ4MI4QUC5HyCVag9d9HPPt6Kg1NB/HWtOEUXDRRckNXcJQmMmUPWi1mLNcH8gde0c26pmQV0DE4F69nFRn7GZZM4ZF78Qa3YWdsNJpQXQ2FbJSfX24SaWzBF5iBGuth/aSP5QiSFoTcT33kBaY8Q965Tjo5B2HcQRp3iX2bg519xOTmCwRrHyDFIZSx4N8I0XdBZtdvQchDBMJ15EYeYttHAKjxH8M/YRV2ZhCtjxOPXWPf/Fz1H0ajstKfeh+iM7GbrqEE90Y0d9OarqE4nYmddL4J/FdTqW5tVPpL74Lc+nWUW4OHOf2XsDxTcf4bDkQlJK4Og4UAAAAASUVORK5CYII="
"2022-07-15 14:17:23";"8";"455";"GWS Managed-Transfer-Client  (x64)";"4.20";"Asymmetrische Datenübertragung über gesichertes VPN zwischen Kunden und Lieferanten durch die GWS, für EDI und andere Verbunddienste nutzbar";"";"aus Originalquelle";"Mietlizenz Subscription";"GWS mbH";"";"s";"https://erpsystem.de/wp-content/uploads/2020/05/Datenblatt-Managed_Transfer.pdf";"0";"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAACwElEQVQ4jW2TXWyLURjHf+e8b9+2a2u1bswwQrgkMq5EQlxKiBsRZC4IsfkKkfgIGhc+IoT4SBBhI8PEhWRLXBDuFiKCRCKIz2lr67qua/t2fd+e46LTknjOzZOc5/97/v+THEG1BN1askaUAOjojyCtPQCo4lk2ThsCoFsbrBEK0GURgNYCITQAF/sjhD2bQG5FyFnle/UZ1BXSznW2j4PGNaKy/8TbiUxr3IKQbVhWM3YW3JILgGma+ANQLH5Hq8v0J65yYN5w1cHt1Do85iUMT5jRpEYrB6SJ+OMQDcpFSIsJ9eAW0zildjbUdcnxjH24xZPYmc8EwgLDskCV0OMHVcKwLLwByI9+wnFOoYp9VQcANwYaUQWJx78SwQF8Nc3k0uWRUBhy2Q+o0iu0OE/J+cDm6SmAsoPOgXZCoTj+wGMM/Z2800LBbsMwYxhGjLF8O05qIT5vCtPYRDD4g47YrirAdm+QH1mOJkVtQy8h7zO0+kZ6bBHxfAvCHMA/+RwF+xeq+BzHXUGBa1WAOyzx1yry9lpSyaVAhkhDL2FfD03BHhpq76OVxheaiWE1YXqyYHuqgGB9K5Kn+H1fobSEnLuakeRShFBIoYknlvHyyQ4MI4QUC5HyCVag9d9HPPt6Kg1NB/HWtOEUXDRRckNXcJQmMmUPWi1mLNcH8gde0c26pmQV0DE4F69nFRn7GZZM4ZF78Qa3YWdsNJpQXQ2FbJSfX24SaWzBF5iBGuth/aSP5QiSFoTcT33kBaY8Q965Tjo5B2HcQRp3iX2bg519xOTmCwRrHyDFIZSx4N8I0XdBZtdvQchDBMJ15EYeYttHAKjxH8M/YRV2ZhCtjxOPXWPf/Fz1H0ajstKfeh+iM7GbrqEE90Y0d9OarqE4nYmddL4J/FdTqW5tVPpL74Lc+nWUW4OHOf2XsDxTcf4bDkQlJK4Og4UAAAAASUVORK5CYII="
